index,M,ef_construction,ef_search,recall_at_10,qps,build_ms,p50_us,p95_us,p99_us
hnswlib,16,200,10,0.4090,4037.7,2277690.2,241.4,351.3,413.5
hnswlib,16,200,16,0.4915,3092.8,2277690.2,316.8,455.1,499.9
hnswlib,16,200,24,0.5719,2370.8,2277690.2,420.7,580.0,640.0
hnswlib,16,200,32,0.6349,1977.2,2277690.2,505.2,691.9,772.7
hnswlib,16,200,48,0.7102,1483.6,2277690.2,683.9,878.1,953.8
hnswlib,16,200,64,0.7563,1197.6,2277690.2,853.5,1053.5,1141.1
hnswlib,16,200,100,0.8261,839.3,2277690.2,1231.2,1467.1,1565.5
hnswlib,16,200,128,0.8595,681.0,2277690.2,1524.7,1826.8,1930.9
hnswlib,16,200,200,0.9071,474.7,2277690.2,2187.6,2606.6,2683.3
hnswlib,16,200,256,0.9268,383.2,2277690.2,2704.5,3246.8,3421.7
hnswlib,16,200,400,0.9556,262.2,2277690.2,3945.3,4824.7,5139.5
hnswlib,16,200,500,0.9644,219.5,2277690.2,4706.0,5731.4,5996.2
