index,M,ef_construction,ef_search,recall_at_10,id_recall_at_10,qps,build_ms,peak_rss_mib,p50_us,p95_us,p99_us
vector-db,16,200,10,0.4840,0.4840,5380.7,2566510.9,999.4,181.5,257.1,301.1
vector-db,16,200,16,0.5820,0.5820,3936.0,2566510.9,999.4,247.5,344.4,395.4
vector-db,16,200,24,0.6601,0.6601,2982.0,2566510.9,999.4,330.6,434.2,503.8
vector-db,16,200,32,0.7092,0.7092,2417.2,2566510.9,999.4,412.3,521.9,586.0
vector-db,16,200,48,0.7802,0.7802,1768.0,2566510.9,999.4,575.5,683.3,748.9
vector-db,16,200,64,0.8246,0.8246,1400.3,2566510.9,999.4,729.8,839.0,905.7
vector-db,16,200,100,0.8790,0.8790,963.5,2566510.9,999.4,1070.3,1199.0,1263.0
vector-db,16,200,128,0.9012,0.9012,779.7,2566510.9,999.4,1334.2,1480.1,1514.9
vector-db,16,200,200,0.9398,0.9398,525.9,2566510.9,999.4,1983.2,2205.1,2279.5
vector-db,16,200,256,0.9559,0.9559,424.2,2566510.9,999.4,2444.1,2760.2,2840.5
vector-db,16,200,400,0.9773,0.9773,287.7,2566510.9,999.4,3603.4,4131.9,4253.6
vector-db,16,200,500,0.9836,0.9836,238.4,2566510.9,999.4,4349.7,5020.1,5147.0
