metric,d,mode,median,min,max
fsync_floor,128,full,317.078,291.064,324.214
perwrite_qps,128,full,98.1514,97.5247,106.31
perwrite_p50,128,full,8096.83,7972.5,8226.33
perwrite_p99,128,full,48372.5,35252.4,49390
perwrite_max,128,full,59819.6,56288.5,80097.5
gc_qps_b1,128,full,101.673,97.0245,109.342
gc_qps_b10,128,full,338.795,318.395,356.232
gc_qps_b50,128,full,401.796,391.473,442.517
gc_qps_b200,128,full,419.388,410.059,455.825
gc_qps_b1000,128,full,430.982,410.528,461.071
gc_qps_b2000,128,full,432.549,417.549,461.044
sealed_ms_n1000,128,full,38.9276,32.4081,46.7621
sealed_ms_n3000,128,full,44.1933,33.849,55.0264
sealed_ms_n6000,128,full,46.9558,42.6868,48.3849
mutable_ms_n1000,128,full,195.479,181.714,196.536
mutable_ms_n3000,128,full,650.658,647.027,683.949
mutable_ms_n6000,128,full,1483.55,1455.59,1601.98
