metric,d,mode,median,min,max
fsync_floor,128,full_n10000,314.562,295.838,315.103
perwrite_qps,128,full_n10000,86.2256,84.8774,88.4516
perwrite_p50,128,full_n10000,9857.75,9732.58,9950.71
perwrite_p99,128,full_n10000,50251.5,48550.7,50811.7
perwrite_max,128,full_n10000,65234.6,59965,69249.1
gc_qps_b1,128,full_n10000,88.6137,88.0929,104.571
gc_qps_b10,128,full_n10000,201.449,185.504,208.502
gc_qps_b50,128,full_n10000,206.589,195.085,226.427
gc_qps_b200,128,full_n10000,218.232,211.411,232.421
gc_qps_b1000,128,full_n10000,218.702,209.089,229.587
gc_qps_b10000,128,full_n10000,215.24,187.325,231.203
sealed_ms_n1000,128,full_n10000,0,0,0
sealed_ms_n3000,128,full_n10000,0,0,0
sealed_ms_n6000,128,full_n10000,0,0,0
mutable_ms_n1000,128,full_n10000,0,0,0
mutable_ms_n3000,128,full_n10000,0,0,0
mutable_ms_n6000,128,full_n10000,0,0,0
seal_create_ms_n1000,128,full_n10000,0,0,0
seal_create_ms_n3000,128,full_n10000,0,0,0
seal_create_ms_n6000,128,full_n10000,0,0,0
