metric,d,mode,median,min,max
fsync_floor,128,full_real,321.506,274.856,328.034
perwrite_qps,128,full_real,111.159,104.629,119.148
perwrite_p50,128,full_real,7137.88,6926.12,7851.5
perwrite_p99,128,full_real,45680.7,43078.4,47298.5
perwrite_max,128,full_real,64681.9,53034,111738
gc_qps_b1,128,full_real,113.834,106.172,117.155
gc_qps_b10,128,full_real,374.654,371.852,379.126
gc_qps_b50,128,full_real,434.938,421.991,446.458
gc_qps_b200,128,full_real,444.496,440.204,456.965
gc_qps_b1000,128,full_real,456.227,432.337,472.735
gc_qps_b2000,128,full_real,456.534,443.19,470.518
sealed_ms_n1000,128,full_real,43.966,40.7493,50.0433
sealed_ms_n3000,128,full_real,48.8512,43.5608,63.5531
sealed_ms_n6000,128,full_real,54.5892,48.2192,66.3305
mutable_ms_n1000,128,full_real,151.269,137.881,163.873
mutable_ms_n3000,128,full_real,415.648,404.392,427.489
mutable_ms_n6000,128,full_real,870.815,849.37,898.691
