metric,d,mode,median,min,max
fsync_floor,128,plain,49199.3,41982.6,51781.7
perwrite_qps,128,plain,441.849,408.108,476.094
perwrite_p50,128,plain,1731.83,1435.33,1895.67
perwrite_p99,128,plain,14425.4,14114,14915
perwrite_max,128,plain,21938.3,17749.8,30551.6
gc_qps_b1,128,plain,480.695,414.863,491.208
gc_qps_b10,128,plain,498.221,453.48,532.94
gc_qps_b50,128,plain,509.256,462.346,560.068
gc_qps_b200,128,plain,496.02,442.978,562.545
gc_qps_b1000,128,plain,514.481,440.125,539.178
gc_qps_b2000,128,plain,507.08,447.235,543.123
sealed_ms_n1000,128,plain,11.4068,8.23975,12.637
sealed_ms_n3000,128,plain,11.4166,10.6456,11.8347
sealed_ms_n6000,128,plain,16.4754,13.6475,24.6399
mutable_ms_n1000,128,plain,165.819,159.415,173.925
mutable_ms_n3000,128,plain,635.261,614.187,661.016
mutable_ms_n6000,128,plain,1479.06,1463.11,1517.83
