metric,d,mode,median,min,max
fsync_floor,128,plain_n30000,25120.7,18105.9,28193.1
perwrite_qps,128,plain_n30000,162.291,161.208,168.143
perwrite_p50,128,plain_n30000,5124.92,5111.12,5131.25
perwrite_p99,128,plain_n30000,32409.5,31378.5,35304.1
perwrite_max,128,plain_n30000,55500.2,47018.5,85293.4
gc_qps_b1,128,plain_n30000,167.422,158.266,168.628
gc_qps_b10,128,plain_n30000,170.127,162.055,171.071
gc_qps_b50,128,plain_n30000,166.441,4.23817,168.724
gc_qps_b200,128,plain_n30000,167.231,13.7544,167.744
gc_qps_b1000,128,plain_n30000,166.22,165.682,167.667
gc_qps_b30000,128,plain_n30000,166.235,164.056,167.423
sealed_ms_n1000,128,plain_n30000,0,0,0
sealed_ms_n3000,128,plain_n30000,0,0,0
sealed_ms_n6000,128,plain_n30000,0,0,0
mutable_ms_n1000,128,plain_n30000,0,0,0
mutable_ms_n3000,128,plain_n30000,0,0,0
mutable_ms_n6000,128,plain_n30000,0,0,0
seal_create_ms_n1000,128,plain_n30000,0,0,0
seal_create_ms_n3000,128,plain_n30000,0,0,0
seal_create_ms_n6000,128,plain_n30000,0,0,0
