metric,d,mode,median,min,max
fsync_floor,128,plain_nsweep,46254.9,24896.5,47145.9
perwrite_qps,128,plain_nsweep,298.173,287.707,326.818
perwrite_p50,128,plain_nsweep,2513.33,2475.33,2812.67
perwrite_p99,128,plain_nsweep,16246.5,15052.6,18995.5
perwrite_max,128,plain_nsweep,25592.3,20141.8,121203
gc_qps_b1,128,plain_nsweep,325.802,318.642,341.897
gc_qps_b10,128,plain_nsweep,360.861,332.251,366.129
gc_qps_b50,128,plain_nsweep,365.442,339.446,411.061
gc_qps_b200,128,plain_nsweep,361.437,343.451,378.857
gc_qps_b1000,128,plain_nsweep,363.352,351.708,381.494
gc_qps_b2000,128,plain_nsweep,361.254,322.668,415.95
sealed_ms_n1000,128,plain_nsweep,14.7207,14.54,16.2347
sealed_ms_n3000,128,plain_nsweep,23.0413,21.3724,24.9175
sealed_ms_n6000,128,plain_nsweep,18.9272,13.8297,19.9688
sealed_ms_n10000,128,plain_nsweep,27.7047,26.4256,30.5469
sealed_ms_n20000,128,plain_nsweep,37.201,33.5406,39.1139
mutable_ms_n1000,128,plain_nsweep,189.428,171.971,195.583
mutable_ms_n3000,128,plain_nsweep,628.782,620.032,639.353
mutable_ms_n6000,128,plain_nsweep,1453.94,1434.75,1473.96
mutable_ms_n10000,128,plain_nsweep,2661.56,2553.99,2680.96
mutable_ms_n20000,128,plain_nsweep,5855.11,5784.75,5928.16
