metric,d,mode,median,min,max
fsync_floor,128,plain_real,48809.5,37017.6,51690.3
perwrite_qps,128,plain_real,408.346,390.434,423.285
perwrite_p50,128,plain_real,1919,1816.12,2003.79
perwrite_p99,128,plain_real,14355.1,13949.9,15196.8
perwrite_max,128,plain_real,17918.4,15652.2,26719.5
gc_qps_b1,128,plain_real,410.163,401.998,431.316
gc_qps_b10,128,plain_real,466.921,438.059,477.41
gc_qps_b50,128,plain_real,468.102,403.986,478.878
gc_qps_b200,128,plain_real,461.491,427.413,489.752
gc_qps_b1000,128,plain_real,464.224,451.322,475.575
gc_qps_b2000,128,plain_real,475.353,456.693,485.06
sealed_ms_n1000,128,plain_real,15.6307,11.9238,18.9443
sealed_ms_n3000,128,plain_real,23.4475,21.817,25.1059
sealed_ms_n6000,128,plain_real,18.8999,14.9011,24.9467
mutable_ms_n1000,128,plain_real,136.191,133.361,140.121
mutable_ms_n3000,128,plain_real,406.042,390.534,420.422
mutable_ms_n6000,128,plain_real,872.764,842.111,893.862
