metric,d,mode,median,min,max
fsync_floor,128,plain_sealcost,25678.2,23876.1,46539.6
perwrite_qps,128,plain_sealcost,226.68,195.969,356.447
perwrite_p50,128,plain_sealcost,3271.46,2427.42,3636.25
perwrite_p99,128,plain_sealcost,29346.8,14652.7,34945
perwrite_max,128,plain_sealcost,37199,17695.8,54477.9
gc_qps_b1,128,plain_sealcost,263.677,232.959,398.068
gc_qps_b10,128,plain_sealcost,276.519,236.375,384.677
gc_qps_b50,128,plain_sealcost,273.466,257.682,414.463
gc_qps_b200,128,plain_sealcost,272.919,243.781,385.294
gc_qps_b1000,128,plain_sealcost,275.294,263.49,386.476
gc_qps_b2000,128,plain_sealcost,263.323,254.051,383.896
sealed_ms_n1000,128,plain_sealcost,23.6516,15.62,25.9975
sealed_ms_n3000,128,plain_sealcost,21.7262,20.2327,34.5014
sealed_ms_n6000,128,plain_sealcost,25.7609,25.4663,31.9575
mutable_ms_n1000,128,plain_sealcost,250.497,185.336,319.469
mutable_ms_n3000,128,plain_sealcost,1096.89,607.34,1370.47
mutable_ms_n6000,128,plain_sealcost,3169.12,2623.36,3190.97
seal_create_ms_n1000,128,plain_sealcost,29.7,24.9701,30.1988
seal_create_ms_n3000,128,plain_sealcost,35.9754,35.51,39.9227
seal_create_ms_n6000,128,plain_sealcost,55.312,52.9777,59.2714
