cut_entry	required_frontier	allow_through	status
268	DB_READY	stable-0	PASS
269	DB_READY	stable-0	PASS
270	DB_READY	stable-0	PASS
271	DB_READY	stable-0	PASS
272	DB_READY	stable-0	PASS
273	DB_READY	stable-0	PASS
274	DB_READY	stable-0	PASS
275	DB_READY	stable-0	PASS
276	stable-0	stable-1	PASS
277	stable-0	stable-1	PASS
278	stable-0	stable-1	PASS
279	stable-0	stable-1	PASS
280	stable-0	stable-1	PASS
281	stable-0	stable-1	PASS
282	stable-1	stable-2	PASS
283	stable-1	stable-2	PASS
284	stable-1	stable-2	PASS
285	stable-1	stable-2	PASS
286	stable-1	stable-2	PASS
287	stable-1	stable-2	PASS
288	stable-2	stable-3	PASS
289	stable-2	stable-3	PASS
290	stable-2	stable-3	PASS
291	stable-2	stable-3	PASS
292	stable-2	stable-3	PASS
293	stable-2	stable-3	PASS
294	stable-3	stable-4	PASS
295	stable-3	stable-4	PASS
296	stable-3	stable-4	PASS
297	stable-3	stable-4	PASS
298	stable-3	stable-4	PASS
299	stable-3	stable-4	PASS
300	stable-4	stable-5	PASS
301	stable-4	stable-5	PASS
302	stable-4	stable-5	PASS
303	stable-4	stable-5	PASS
304	stable-4	stable-5	PASS
305	stable-4	stable-5	PASS
306	stable-5	stable-6	PASS
307	stable-5	stable-6	PASS
308	stable-5	stable-6	PASS
309	stable-5	stable-6	PASS
310	stable-5	stable-6	PASS
311	stable-5	stable-6	PASS
312	stable-6	stable-7	PASS
313	stable-6	stable-7	PASS
314	stable-6	stable-7	PASS
315	stable-6	stable-7	PASS
316	stable-6	stable-7	PASS
317	stable-6	stable-7	PASS
318	stable-7	stable-8	PASS
319	stable-7	stable-8	PASS
320	stable-7	stable-8	PASS
321	stable-7	stable-8	PASS
322	stable-7	stable-8	PASS
323	stable-7	stable-8	PASS
324	stable-8	stable-9	PASS
325	stable-8	stable-9	PASS
326	stable-8	stable-9	PASS
327	stable-8	stable-9	PASS
328	stable-8	stable-9	PASS
329	stable-8	stable-9	PASS
330	stable-9	stable-10	PASS
331	stable-9	stable-10	PASS
332	stable-9	stable-10	PASS
333	stable-9	stable-10	PASS
334	stable-9	stable-10	PASS
335	stable-9	stable-10	PASS
336	stable-10	stable-11	PASS
337	stable-10	stable-11	PASS
338	stable-10	stable-11	PASS
339	stable-10	stable-11	PASS
340	stable-10	stable-11	PASS
341	stable-10	stable-11	PASS
342	stable-11	stable-12	PASS
343	stable-11	stable-12	PASS
344	stable-11	stable-12	PASS
345	stable-11	stable-12	PASS
346	stable-11	stable-12	PASS
347	stable-11	stable-12	PASS
348	stable-12	stable-13	PASS
349	stable-12	stable-13	PASS
350	stable-12	stable-13	PASS
351	stable-12	stable-13	PASS
352	stable-12	stable-13	PASS
353	stable-12	stable-13	PASS
354	stable-13	stable-14	PASS
355	stable-13	stable-14	PASS
356	stable-13	stable-14	PASS
357	stable-13	stable-14	PASS
358	stable-13	stable-14	PASS
359	stable-13	stable-14	PASS
360	stable-14	stable-15	PASS
361	stable-14	stable-15	PASS
362	stable-14	stable-15	PASS
363	stable-14	stable-15	PASS
364	stable-14	stable-15	PASS
365	stable-14	stable-15	PASS
366	stable-15	weak-1	PASS
367	weak-1	weak-2	PASS
368	weak-2	crash	PASS
369	crash	crash	PASS
