case,workload,repetition,writers,writes_per_s,weak_p50_us,weak_p95_us,weak_p99_us,stable_p50_us,stable_p95_us,stable_p99_us,fence_us,query_p50_us,query_p95_us,query_p99_us,mean_D,mean_W,max_W,max_cap,max_risk,timed_sync_successes,total_sync_attempts,total_sync_successes,total_sync_failures,timed_syncs_per_s,total_records_per_sync,policy_fences,age_fences,overshoots,enrichment,alarm,alarm_latency_ms,M_max,L_max,delta_max,amplification_max,stable_losses,weak_survivors,frontier_ok,recovery_ok,strict_ok
stable-group,random,0,4,319.01,0,0,0,11761.3,11872.3,11876.8,1161.5,38.3545,10253.3,10852.5,174.44,0,0,0,0.4,7,7,7,0,89.3227,3.57143,0,0,0,1,0,-1,0,0,0,0,0,0,1,1,1
fixed-count,random,0,4,310.167,12589.7,15986.5,16082.2,0,0,0,7375.08,33.625,12493.9,14233.5,170.56,2.44,4,4,0.0243902,6,7,7,0,74.4402,3.57143,6,0,0,1.01332,0,-1,0,0,0,0,0,0,1,1,1
exchange-random,random,0,4,459.899,7041.29,13153.5,13260.2,0,0,0,6094.17,33.458,2713.49,10323.7,168.32,4.68,9,9,0.0486486,2,3,3,0,36.7919,8.33333,2,0,0,1.10715,0,-1,0.1,0.1,0.1,0,0,0,1,1,1
strict-random,random,0,4,234.275,16665.8,18730.1,20248.1,0,0,0,6573.21,41.25,15343.2,17230.6,171.52,1.48,2,2,0.2,12,13,13,0,112.452,1.92308,12,0,0,0.432121,0,-1,0,0,0,0,0,0,1,1,1
exchange-hot,hot,0,4,485.398,6374.96,13956.9,15434.3,0,0,0,6418.08,31.584,2403.75,11757.2,168.32,4.68,9,9,0.0486486,2,3,3,0,38.8318,8.33333,2,0,0,4.24092,0,-1,0.3,0.3,0.3,5.55112e-17,0,0,1,1,1
exchange-hot-guard,hot,0,4,160.591,3112.04,4340.95,4415.56,28813.6,32014.7,33147.3,1140.75,28.8955,27677,28674.9,173.8,0.4,4,9,0.0243902,22,22,22,0,141.32,1.13636,16,0,0,2.53086,1,4.736,0,0,0,0,0,0,1,1,1
strict-hot,hot,0,4,258.25,14921.5,18768.8,18813.7,0,0,0,6176.79,11.354,14928.1,17023.9,171.52,1.48,2,2,0.2,12,13,13,0,123.96,1.92308,12,0,0,3.61983,0,-1,0.1,0.1,0.1,0,0,0,1,1,1
fixed-time,random,0,4,362.221,10099.1,15586,18247.8,0,0,0,1146.42,10.5,20.6527,51931.7,170.92,2.08,4,1638,0.0243902,7,8,8,0,101.422,3.125,0,8,0,1,0,-1,0,0,0,0,0,0,1,1,1
exchange-hot-guard,hot,1,4,146.232,2250.38,3833.66,3965.97,31535.6,37014.2,37025.1,1216.46,35.3955,29533.1,31696.2,173.8,0.4,4,9,0.0243902,22,22,22,0,128.684,1.13636,16,0,0,2.84158,1,4.023,0,0,0,0,0,0,1,1,1
strict-hot,hot,1,4,173.773,17687.2,35484.3,39685.9,0,0,0,8282.21,41.354,22796.3,35491.1,171.52,1.48,2,2,0.2,12,13,13,0,83.411,1.92308,12,0,0,3.87316,0,-1,0.1,0.1,0.1,0,0,0,1,1,1
strict-random,random,1,4,157.564,23257.4,34053.8,34121.7,0,0,0,5727.08,54.9995,4028.21,13703.7,171.52,1.48,2,2,0.2,12,13,13,0,75.6305,1.92308,12,0,0,1.12043,0,-1,0.1,0.1,0.1,0,0,0,1,1,1
exchange-hot,hot,1,4,492.843,5896.38,12670,12834.2,0,0,0,5855.04,32.7915,8352.14,10376.8,168.32,4.68,9,9,0.0486486,2,3,3,0,39.4275,8.33333,2,0,0,4.22483,0,-1,0.3,0.3,0.3,5.55112e-17,0,0,1,1,1
stable-group,random,1,4,314.768,0,0,0,10867.4,13708.7,13715,1148.08,32.958,9837.69,11694.4,174.44,0,0,0,0.4,7,7,7,0,88.1352,3.57143,0,0,0,1,0,-1,0,0,0,0,0,0,1,1,1
fixed-time,random,1,4,340.755,10487.2,15582.5,19297.5,0,0,0,1169.25,36.2915,77.6421,53876.9,170.92,2.08,4,1638,0.0243902,7,8,8,0,95.4113,3.125,0,8,0,1,0,-1,0,0,0,0,0,0,1,1,1
