case,workload,repetition,query,M,L,delta_positive,amplification,pre_recall,post_recall,answer_churn,durable_overlap,lost_ids_subset_weak,durable_fingerprint_equal
stable-group,random,0,0,0,0,0,0,1,1,0,1,1,1
stable-group,random,0,1,0,0,0,0,1,1,0,1,1,1
stable-group,random,0,2,0,0,0,0,1,1,0,1,1,1
stable-group,random,0,3,0,0,0,0,1,1,0,1,1,1
stable-group,random,0,4,0,0,0,0,1,1,0,1,1,1
stable-group,random,0,5,0,0,0,0,1,1,0,1,1,1
stable-group,random,0,6,0,0,0,0,1,1,0,1,1,1
stable-group,random,0,7,0,0,0,0,1,1,0,1,1,1
stable-group,random,0,8,0,0,0,0,1,1,0,1,1,1
stable-group,random,0,9,0,0,0,0,1,1,0,1,1,1
stable-group,random,0,10,0,0,0,0,1,1,0,1,1,1
stable-group,random,0,11,0,0,0,0,1,1,0,1,1,1
fixed-count,random,0,0,0,0,0,0,1,1,0,1,1,1
fixed-count,random,0,1,0,0,0,0,1,1,0,1,1,1
fixed-count,random,0,2,0,0,0,0,1,1,0,1,1,1
fixed-count,random,0,3,0,0,0,0,1,1,0,1,1,1
fixed-count,random,0,4,0,0,0,0,1,1,0,1,1,1
fixed-count,random,0,5,0,0,0,0,1,1,0,1,1,1
fixed-count,random,0,6,0,0,0,0,1,1,0,1,1,1
fixed-count,random,0,7,0,0,0,0,1,1,0,1,1,1
fixed-count,random,0,8,0,0,0,0,1,1,0,1,1,1
fixed-count,random,0,9,0,0,0,0,1,1,0,1,1,1
fixed-count,random,0,10,0,0,0,0,1,1,0,1,1,1
fixed-count,random,0,11,0,0,0,0,1,1,0,1,1,1
exchange-random,random,0,0,0,0,0,0,1,1,0,1,1,1
exchange-random,random,0,1,0.1,0.1,0.1,0,1,0.9,0.1,1,1,1
exchange-random,random,0,2,0.1,0.1,0.1,0,1,0.9,0.1,1,1,1
exchange-random,random,0,3,0,0,0,0,1,1,0,1,1,1
exchange-random,random,0,4,0,0,0,0,1,1,0,1,1,1
exchange-random,random,0,5,0,0,0,0,1,1,0,1,1,1
exchange-random,random,0,6,0,0,0,0,1,1,0,1,1,1
exchange-random,random,0,7,0.1,0.1,0.1,0,1,0.9,0.1,1,1,1
