case,workload,repetition,hnsw_seed,tail_seed,operation,index,ack,latency_us,lsn,visible_lsn,durable_lsn,durable_records,weak_records,cap,risk,snapshot_lsn,exact_recall,tail_evaluations
stable-group,random,0,100,9001,write,0,stable,11093.3,1048577,1048580,1048580,164,0,0,0.1,,,
stable-group,random,0,100,9001,write,1,stable,11111.4,1048580,1048580,1048580,164,0,0,0.4,,,
stable-group,random,0,100,9001,write,2,stable,11092.7,1048578,1048580,1048580,164,0,0,0.2,,,
stable-group,random,0,100,9001,write,3,stable,11102.9,1048579,1048580,1048580,164,0,0,0.3,,,
stable-group,random,0,100,9001,write,4,stable,11869.8,1048581,1048584,1048584,168,0,0,0.1,,,
stable-group,random,0,100,9001,write,5,stable,11872.9,1048582,1048584,1048584,168,0,0,0.2,,,
stable-group,random,0,100,9001,write,6,stable,11858,1048583,1048584,1048584,168,0,0,0.3,,,
stable-group,random,0,100,9001,write,7,stable,11858.5,1048584,1048584,1048584,168,0,0,0.4,,,
stable-group,random,0,100,9001,write,8,stable,11832.6,1048585,1048588,1048588,172,0,0,0.1,,,
stable-group,random,0,100,9001,write,9,stable,11802.2,1048586,1048588,1048588,172,0,0,0.2,,,
stable-group,random,0,100,9001,write,10,stable,11802.4,1048587,1048588,1048588,172,0,0,0.3,,,
stable-group,random,0,100,9001,write,11,stable,11754.8,1048588,1048588,1048588,172,0,0,0.4,,,
stable-group,random,0,100,9001,write,12,stable,10842,1048589,1048592,1048592,176,0,0,0.1,,,
stable-group,random,0,100,9001,write,13,stable,10818.6,1048590,1048592,1048592,176,0,0,0.2,,,
stable-group,random,0,100,9001,write,14,stable,10807.7,1048591,1048592,1048592,176,0,0,0.3,,,
stable-group,random,0,100,9001,write,15,stable,10789.6,1048592,1048592,1048592,176,0,0,0.4,,,
stable-group,random,0,100,9001,write,16,stable,11878,1048593,1048596,1048596,180,0,0,0.1,,,
stable-group,random,0,100,9001,write,17,stable,11862.9,1048594,1048596,1048596,180,0,0,0.2,,,
stable-group,random,0,100,9001,write,18,stable,11834.3,1048595,1048596,1048596,180,0,0,0.3,,,
stable-group,random,0,100,9001,write,19,stable,11813.2,1048596,1048596,1048596,180,0,0,0.4,,,
stable-group,random,0,100,9001,write,20,stable,11788.5,1048597,1048600,1048600,184,0,0,0.1,,,
stable-group,random,0,100,9001,write,21,stable,11761.3,1048598,1048600,1048600,184,0,0,0.2,,,
stable-group,random,0,100,9001,write,22,stable,11747.5,1048599,1048600,1048600,184,0,0,0.3,,,
stable-group,random,0,100,9001,write,23,stable,11729.1,1048600,1048600,1048600,184,0,0,0.4,,,
stable-group,random,0,100,9001,write,24,stable,7795.08,1048601,1048601,1048601,185,0,0,0.1,,,
stable-group,random,0,100,9001,query,0,,65.833,,160,160,160,0,0,0,160,1,0
stable-group,random,0,100,9001,query,1,,27.625,,160,160,160,0,0,0,160,1,0
stable-group,random,0,100,9001,query,2,,23.917,,160,160,160,0,0,0,160,1,0
stable-group,random,0,100,9001,query,3,,26.791,,160,160,160,0,0,0,160,1,0
stable-group,random,0,100,9001,query,4,,29.458,,160,160,164,0,0,0,160,1,0
stable-group,random,0,100,9001,query,5,,70.916,,1048580,1048580,164,0,0,0,1048580,1,0
