case,workload,repetition,hnsw_seed,tail_seed,writers,writes_per_s,weak_p50_us,weak_p95_us,weak_p99_us,stable_p50_us,stable_p95_us,stable_p99_us,fence_us,query_p50_us,query_p95_us,query_p99_us,mean_D,mean_W,max_W,max_cap,max_risk,timed_sync_successes,total_sync_attempts,total_sync_successes,total_sync_failures,timed_syncs_per_s,total_records_per_sync,policy_fences,age_fences,overshoots,enrichment,alarm,alarm_latency_ms,crash_frontier,crash_visible_lsn,crash_durable_lsn,crash_child_status,exposed_weak_records,surviving_weak_records,lost_weak_records,has_L_lt_M,M_max,L_max,delta_max,amplification_max,stable_losses,weak_survivors,stable_records_unchanged,cohort_records_unchanged,cohort_expectations_ok,post_recovery_suffix_ok,frontier_ok,recovery_ok,strict_ok
stable-group,random,0,100,9001,4,242.722,0,0,0,12812.5,19147.6,19149.6,1167.58,39.479,13076.5,15925.6,174.44,0,0,0,0.4,7,7,7,0,67.9622,3.57143,0,0,0,1,0,-1,terminal-unfenced-suffix,1048601,1048601,-1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1
fixed-count,random,0,117,9001,4,271.816,12117.3,16058.1,22288.6,0,0,0,5726.04,38.2705,12151.7,14621.4,170.56,2.44,4,4,0.0243902,6,7,7,0,65.2359,3.57143,6,0,0,1.14083,0,-1,terminal-unfenced-suffix,1048601,1048600,-1,1,0,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1
exchange-random,random,0,117,9001,4,369.923,9242.08,16159.6,17748,0,0,0,7904.58,43.2705,1928.09,10676.8,168.32,4.68,9,9,0.0486486,2,3,3,0,29.5938,8.33333,2,0,0,0.999632,0,-1,terminal-unfenced-suffix,1048601,1048592,-1,9,0,9,0,0.1,0.1,0.1,0,0,0,1,1,1,1,1,1,1
strict-random,random,0,117,9001,4,207.583,18759.5,23660.9,25274.8,0,0,0,7066.33,52.0835,19708.4,21538.1,171.52,1.48,2,2,0.2,12,13,13,0,99.6398,1.92308,12,0,0,0.640059,0,-1,terminal-unfenced-suffix,1048601,1048600,-1,1,0,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1
exchange-hot,hot,0,100,45001,4,441.794,7162.29,15185.7,15515.3,0,0,0,5384.96,35.708,132.01,4527.62,168.32,4.68,9,9,0.0486486,2,3,3,0,35.3435,8.33333,2,0,0,4.22808,0,-1,terminal-unfenced-suffix,1048601,1048592,-1,9,0,9,0,0.3,0.3,0.3,5.55112e-17,0,0,1,1,1,1,1,1,1
exchange-hot-guard,hot,0,117,45001,4,116.722,2894.5,5695.45,5980.39,39660.4,47815,47817.6,1185.5,43.9165,37569.1,44939.7,173.8,0.4,4,9,0.0243902,22,22,22,0,102.716,1.13636,16,0,0,2.7033,1,6.237,terminal-unfenced-suffix,1048601,1048601,-1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1
strict-hot,hot,0,100,45001,4,171.733,21986.8,27505.9,30602,0,0,0,17515,45.271,15129.9,23250.3,171.52,1.48,2,2,0.2,12,13,13,0,82.4316,1.92308,12,0,0,3.45948,0,-1,fence-after-sync-before-publish,2097154,1048601,86,2,2,0,1,0.2,0,0,0,0,0,1,1,1,1,1,1,1
fixed-time,random,0,100,9001,4,251.55,14435.4,29970.8,30885.3,0,0,0,1180.88,35.1875,88.2104,72269.9,170.92,2.08,4,1638,0.0243902,7,8,8,0,70.434,3.125,0,8,0,1,0,-1,terminal-unfenced-suffix,1048601,1048601,-1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1
exchange-hot-guard,hot,1,100,45002,4,107.207,3963.23,6466.02,6707.77,42606.5,52908.7,52911.3,1151.62,52.354,39226.7,48841.5,173.8,0.4,4,9,0.0243902,22,22,22,0,94.3422,1.13636,16,0,0,2.53086,1,7.147,terminal-unfenced-suffix,1048601,1048601,-1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1
strict-hot,hot,1,117,45002,4,150.247,26033.4,36560,38058.2,0,0,0,11796.9,48.2085,19662.9,28270.5,171.52,1.48,2,2,0.2,12,13,13,0,72.1185,1.92308,12,0,0,3.31236,0,-1,fence-after-sync-before-publish,2097154,1048601,86,2,2,0,1,0.2,0,0,0,0,0,1,1,1,1,1,1,1
