case,workload,repetition,hnsw_seed,tail_seed,operation,index,ack,latency_us,lsn,visible_lsn,durable_lsn,durable_records,weak_records,cap,risk,snapshot_lsn,exact_recall,tail_evaluations,crash_frontier,expected_recovery,crash_child_status
stable-group,random,0,100,9001,write,0,stable,17705.7,1048577,1048580,1048580,164,0,0,0.1,,,,terminal-unfenced-suffix,,-1
stable-group,random,0,100,9001,write,1,stable,17684.9,1048578,1048580,1048580,164,0,0,0.2,,,,terminal-unfenced-suffix,,-1
stable-group,random,0,100,9001,write,2,stable,17693.6,1048579,1048580,1048580,164,0,0,0.3,,,,terminal-unfenced-suffix,,-1
stable-group,random,0,100,9001,write,3,stable,17693.5,1048580,1048580,1048580,164,0,0,0.4,,,,terminal-unfenced-suffix,,-1
stable-group,random,0,100,9001,write,4,stable,11818,1048581,1048584,1048584,168,0,0,0.1,,,,terminal-unfenced-suffix,,-1
stable-group,random,0,100,9001,write,5,stable,11822.9,1048582,1048584,1048584,168,0,0,0.2,,,,terminal-unfenced-suffix,,-1
stable-group,random,0,100,9001,write,6,stable,11763.1,1048583,1048584,1048584,168,0,0,0.3,,,,terminal-unfenced-suffix,,-1
stable-group,random,0,100,9001,write,7,stable,11761,1048584,1048584,1048584,168,0,0,0.4,,,,terminal-unfenced-suffix,,-1
stable-group,random,0,100,9001,write,8,stable,15802.1,1048585,1048588,1048588,172,0,0,0.1,,,,terminal-unfenced-suffix,,-1
stable-group,random,0,100,9001,write,9,stable,15783.4,1048586,1048588,1048588,172,0,0,0.2,,,,terminal-unfenced-suffix,,-1
stable-group,random,0,100,9001,write,10,stable,15761.7,1048587,1048588,1048588,172,0,0,0.3,,,,terminal-unfenced-suffix,,-1
stable-group,random,0,100,9001,write,11,stable,15744.1,1048588,1048588,1048588,172,0,0,0.4,,,,terminal-unfenced-suffix,,-1
stable-group,random,0,100,9001,write,12,stable,12783.2,1048589,1048592,1048592,176,0,0,0.1,,,,terminal-unfenced-suffix,,-1
stable-group,random,0,100,9001,write,13,stable,12771.6,1048590,1048592,1048592,176,0,0,0.2,,,,terminal-unfenced-suffix,,-1
stable-group,random,0,100,9001,write,14,stable,12751.2,1048591,1048592,1048592,176,0,0,0.3,,,,terminal-unfenced-suffix,,-1
stable-group,random,0,100,9001,write,15,stable,12722.4,1048592,1048592,1048592,176,0,0,0.4,,,,terminal-unfenced-suffix,,-1
stable-group,random,0,100,9001,write,16,stable,19144.6,1048593,1048596,1048596,180,0,0,0.1,,,,terminal-unfenced-suffix,,-1
stable-group,random,0,100,9001,write,17,stable,19150,1048594,1048596,1048596,180,0,0,0.2,,,,terminal-unfenced-suffix,,-1
stable-group,random,0,100,9001,write,18,stable,19145.1,1048595,1048596,1048596,180,0,0,0.3,,,,terminal-unfenced-suffix,,-1
stable-group,random,0,100,9001,write,19,stable,19148.2,1048596,1048596,1048596,180,0,0,0.4,,,,terminal-unfenced-suffix,,-1
stable-group,random,0,100,9001,write,20,stable,11600.2,1048597,1048600,1048600,184,0,0,0.1,,,,terminal-unfenced-suffix,,-1
stable-group,random,0,100,9001,write,21,stable,11595.2,1048598,1048600,1048600,184,0,0,0.2,,,,terminal-unfenced-suffix,,-1
stable-group,random,0,100,9001,write,22,stable,11574.8,1048599,1048600,1048600,184,0,0,0.3,,,,terminal-unfenced-suffix,,-1
stable-group,random,0,100,9001,write,23,stable,11548.2,1048600,1048600,1048600,184,0,0,0.4,,,,terminal-unfenced-suffix,,-1
stable-group,random,0,100,9001,write,24,stable,12812.5,1048601,1048601,1048601,185,0,0,0.1,,,,terminal-unfenced-suffix,,-1
stable-group,random,0,100,9001,query,0,,145.75,,160,160,160,0,0,0,160,1,0,terminal-unfenced-suffix,,-1
stable-group,random,0,100,9001,query,1,,80.458,,160,160,160,0,0,0,160,1,0,terminal-unfenced-suffix,,-1
stable-group,random,0,100,9001,query,2,,53.542,,160,160,160,0,0,0,160,1,0,terminal-unfenced-suffix,,-1
stable-group,random,0,100,9001,query,3,,43.584,,160,160,160,0,0,0,160,1,0,terminal-unfenced-suffix,,-1
stable-group,random,0,100,9001,query,4,,40.542,,160,160,160,0,0,0,160,1,0,terminal-unfenced-suffix,,-1
stable-group,random,0,100,9001,query,5,,16440.8,,1048580,1048580,164,0,0,0,1048580,1,0,terminal-unfenced-suffix,,-1
stable-group,random,0,100,9001,query,6,,42,,1048580,1048580,164,0,0,0,1048580,1,0,terminal-unfenced-suffix,,-1
stable-group,random,0,100,9001,query,7,,40.25,,1048580,1048580,164,0,0,0,1048580,1,0,terminal-unfenced-suffix,,-1
stable-group,random,0,100,9001,query,8,,32.459,,1048580,1048580,164,0,0,0,1048580,1,0,terminal-unfenced-suffix,,-1
stable-group,random,0,100,9001,query,9,,35.792,,1048580,1048580,164,0,0,0,1048580,1,0,terminal-unfenced-suffix,,-1
stable-group,random,0,100,9001,query,10,,10891.5,,1048584,1048584,168,0,0,0,1048584,1,0,terminal-unfenced-suffix,,-1
stable-group,random,0,100,9001,query,11,,49.667,,1048584,1048584,168,0,0,0,1048584,1,0,terminal-unfenced-suffix,,-1
stable-group,random,0,100,9001,query,12,,38.541,,1048584,1048584,168,0,0,0,1048584,1,0,terminal-unfenced-suffix,,-1
stable-group,random,0,100,9001,query,13,,48,,1048584,1048584,168,0,0,0,1048584,1,0,terminal-unfenced-suffix,,-1
stable-group,random,0,100,9001,query,14,,60.208,,1048584,1048584,168,0,0,0,1048584,1,0,terminal-unfenced-suffix,,-1
stable-group,random,0,100,9001,query,15,,14779,,1048588,1048588,172,0,0,0,1048588,1,0,terminal-unfenced-suffix,,-1
stable-group,random,0,100,9001,query,16,,42.083,,1048588,1048588,172,0,0,0,1048588,1,0,terminal-unfenced-suffix,,-1
stable-group,random,0,100,9001,query,17,,26.625,,1048588,1048588,172,0,0,0,1048588,1,0,terminal-unfenced-suffix,,-1
stable-group,random,0,100,9001,query,18,,35.708,,1048588,1048588,172,0,0,0,1048588,1,0,terminal-unfenced-suffix,,-1
stable-group,random,0,100,9001,query,19,,21.375,,1048588,1048588,172,0,0,0,1048588,1,0,terminal-unfenced-suffix,,-1
stable-group,random,0,100,9001,query,20,,19.459,,1048588,1048588,172,0,0,0,1048588,1,0,terminal-unfenced-suffix,,-1
stable-group,random,0,100,9001,query,21,,11683.5,,1048592,1048592,176,0,0,0,1048592,1,0,terminal-unfenced-suffix,,-1
stable-group,random,0,100,9001,query,22,,35.209,,1048592,1048592,176,0,0,0,1048592,1,0,terminal-unfenced-suffix,,-1
stable-group,random,0,100,9001,query,23,,29.708,,1048592,1048592,176,0,0,0,1048592,1,0,terminal-unfenced-suffix,,-1
stable-group,random,0,100,9001,query,24,,38.708,,1048592,1048592,176,0,0,0,1048592,1,0,terminal-unfenced-suffix,,-1
stable-group,random,0,100,9001,query,25,,35.792,,1048592,1048592,176,0,0,0,1048592,1,0,terminal-unfenced-suffix,,-1
stable-group,random,0,100,9001,query,26,,32.334,,1048592,1048592,180,0,0,0,1048592,1,0,terminal-unfenced-suffix,,-1
stable-group,random,0,100,9001,query,27,,73.666,,1048596,1048596,180,0,0,0,1048596,1,0,terminal-unfenced-suffix,,-1
stable-group,random,0,100,9001,query,28,,29.333,,1048596,1048596,180,0,0,0,1048596,1,0,terminal-unfenced-suffix,,-1
stable-group,random,0,100,9001,query,29,,30.291,,1048596,1048596,180,0,0,0,1048596,1,0,terminal-unfenced-suffix,,-1
stable-group,random,0,100,9001,query,30,,25,,1048596,1048596,180,0,0,0,1048596,1,0,terminal-unfenced-suffix,,-1
stable-group,random,0,100,9001,query,31,,29.625,,1048596,1048596,184,0,0,0,1048596,1,0,terminal-unfenced-suffix,,-1
stable-group,random,0,100,9001,cleanup-fence,0,stable,1167.58,0,0,0,0,0,0,0,0,0,0,terminal-unfenced-suffix,,-1
fixed-count,random,0,117,9001,write,0,weak,1395.83,1048577,1048577,160,160,1,4,0.00621118,,,,terminal-unfenced-suffix,,-1
fixed-count,random,0,117,9001,write,1,weak,3151.46,1048578,1048578,160,160,2,4,0.0123457,,,,terminal-unfenced-suffix,,-1
fixed-count,random,0,117,9001,write,2,weak,5070.12,1048579,1048579,160,160,3,4,0.0184049,,,,terminal-unfenced-suffix,,-1
fixed-count,random,0,117,9001,write,3,weak,6927.29,1048580,1048580,160,160,4,4,0.0243902,,,,terminal-unfenced-suffix,,-1
fixed-count,random,0,117,9001,write,4,weak,13718.9,1048581,1048581,1048580,164,1,4,0.00606061,,,,terminal-unfenced-suffix,,-1
fixed-count,random,0,117,9001,write,5,weak,13375.5,1048582,1048582,1048580,164,2,4,0.0120482,,,,terminal-unfenced-suffix,,-1
fixed-count,random,0,117,9001,write,6,weak,12662,1048583,1048583,1048580,164,3,4,0.0179641,,,,terminal-unfenced-suffix,,-1
fixed-count,random,0,117,9001,write,7,weak,12117.3,1048584,1048584,1048580,164,4,4,0.0238095,,,,terminal-unfenced-suffix,,-1
fixed-count,random,0,117,9001,write,8,weak,11682.7,1048585,1048585,1048584,168,1,4,0.00591716,,,,terminal-unfenced-suffix,,-1
fixed-count,random,0,117,9001,write,9,weak,11676.8,1048586,1048586,1048584,168,2,4,0.0117647,,,,terminal-unfenced-suffix,,-1
fixed-count,random,0,117,9001,write,10,weak,11479,1048587,1048587,1048584,168,3,4,0.0175439,,,,terminal-unfenced-suffix,,-1
fixed-count,random,0,117,9001,write,11,weak,11476.5,1048588,1048588,1048584,168,4,4,0.0232558,,,,terminal-unfenced-suffix,,-1
fixed-count,random,0,117,9001,write,12,weak,11898.9,1048589,1048589,1048588,172,1,4,0.00578035,,,,terminal-unfenced-suffix,,-1
fixed-count,random,0,117,9001,write,13,weak,11874.2,1048590,1048590,1048588,172,2,4,0.0114943,,,,terminal-unfenced-suffix,,-1
fixed-count,random,0,117,9001,write,14,weak,11859.4,1048591,1048591,1048588,172,3,4,0.0171429,,,,terminal-unfenced-suffix,,-1
fixed-count,random,0,117,9001,write,15,weak,12126,1048592,1048592,1048588,172,4,4,0.0227273,,,,terminal-unfenced-suffix,,-1
fixed-count,random,0,117,9001,write,16,weak,14234.3,1048593,1048593,1048592,176,1,4,0.00564972,,,,terminal-unfenced-suffix,,-1
fixed-count,random,0,117,9001,write,17,weak,15822.8,1048594,1048594,1048592,176,2,4,0.011236,,,,terminal-unfenced-suffix,,-1
fixed-count,random,0,117,9001,write,18,weak,16074.4,1048595,1048595,1048592,176,3,4,0.0167598,,,,terminal-unfenced-suffix,,-1
fixed-count,random,0,117,9001,write,19,weak,15992.6,1048596,1048596,1048592,176,4,4,0.0222222,,,,terminal-unfenced-suffix,,-1
fixed-count,random,0,117,9001,write,20,weak,13291,1048597,1048597,1048596,180,1,4,0.00552486,,,,terminal-unfenced-suffix,,-1
fixed-count,random,0,117,9001,write,21,weak,11882.7,1048598,1048598,1048596,180,2,4,0.010989,,,,terminal-unfenced-suffix,,-1
