case,workload,repetition,hnsw_seed,tail_seed,writers,writes_per_s,weak_p50_us,weak_p95_us,weak_p99_us,stable_p50_us,stable_p95_us,stable_p99_us,fence_us,query_p50_us,query_p95_us,query_p99_us,mean_D,mean_W,max_W,max_cap,max_risk,timed_sync_successes,total_sync_attempts,total_sync_successes,total_sync_failures,timed_syncs_per_s,total_records_per_sync,policy_fences,age_fences,overshoots,enrichment,alarm,alarm_latency_ms,crash_frontier,crash_visible_lsn,crash_durable_lsn,crash_child_status,exposed_weak_records,surviving_weak_records,lost_weak_records,has_L_lt_M,M_max,L_max,delta_max,amplification_max,stable_losses,weak_survivors,stable_records_unchanged,cohort_records_unchanged,cohort_expectations_ok,post_recovery_suffix_ok,frontier_ok,recovery_ok,strict_ok
stable-group,random,0,100,9001,4,238.183,0,0,0,14554.3,17890.9,28225.5,1181.29,39.4795,6195,16117.7,174.36,0,0,0,0.4,7,7,7,0,66.6913,3.57143,0,0,0,1,0,-1,terminal-unfenced-suffix,1048601,1048601,-1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1
fixed-count,random,0,117,9001,4,238.739,16230.8,17793.6,18617,0,0,0,7938.58,61.021,15823.3,16279.2,170.56,2.44,4,4,0.0243902,6,7,7,0,57.2975,3.57143,6,0,0,0.860334,0,-1,terminal-unfenced-suffix,1048601,1048600,-1,1,0,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1
exchange-random,random,0,117,9001,4,403.479,8090.46,13393.4,13588.5,0,0,0,6258.71,69.396,6732.24,10577.6,168.32,4.68,9,9,0.0486486,2,3,3,0,32.2783,8.33333,2,0,0,1.10191,0,-1,terminal-unfenced-suffix,1048601,1048592,-1,9,0,9,0,0.1,0.1,0.1,0,0,0,1,1,1,1,1,1,1
strict-random,random,0,117,9001,4,182.852,21674.9,23192.4,24491.5,0,0,0,8969.75,51.9165,21086,22317.1,171.52,1.48,2,2,0.2,12,13,13,0,87.7691,1.92308,12,0,0,0.681538,0,-1,terminal-unfenced-suffix,1048601,1048600,-1,1,0,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1
exchange-hot,hot,0,100,45001,4,265.462,13407.6,18794.3,21412.9,0,0,0,9272.62,51.5415,13668.7,17128,168.32,4.68,9,9,0.0486486,2,3,3,0,21.2369,8.33333,2,0,0,4.22193,0,-1,terminal-unfenced-suffix,1048601,1048592,-1,9,0,9,0,0.3,0.3,0.3,5.55112e-17,0,0,1,1,1,1,1,1,1
exchange-hot-guard,hot,0,117,45001,4,84.8527,6374.98,10245,10605.8,54881.1,59871.3,61642.8,1179.25,77.146,20295.5,51027.9,173.8,0.4,4,9,0.0243902,22,22,22,0,74.6704,1.13636,16,0,0,2.30986,1,11.096,terminal-unfenced-suffix,1048601,1048601,-1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1
strict-hot,hot,0,100,45001,4,135.591,25844.9,35149.6,41708.1,0,0,0,12019.3,71.813,6896.74,21273.5,171.52,1.48,2,2,0.2,12,13,13,0,65.0835,1.92308,12,0,0,3.47074,0,-1,fence-after-sync-before-publish,2097154,1048601,86,2,2,0,1,0.2,0,0,0,0,0,1,1,1,1,1,1,1
fixed-time,random,0,100,9001,4,187.948,21698.8,30294.6,32032.7,0,0,0,1199.58,66.875,194.721,25954.5,170.92,2.08,4,1638,0.0243902,7,8,8,0,52.6255,3.125,0,8,0,0.85,0,-1,terminal-unfenced-suffix,1048601,1048601,-1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1
exchange-hot-guard,hot,1,100,45002,4,78.8396,6607.65,9977.47,10270.6,59763.2,64869.6,64872.4,1188.79,59.5,25091.8,57859.5,173.8,0.4,4,9,0.0243902,22,22,22,0,69.3789,1.13636,16,0,0,2.7033,1,10.5,terminal-unfenced-suffix,1048601,1048601,-1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1
strict-hot,hot,1,117,45002,4,153.597,25937.9,30705.9,30794.2,0,0,0,11001.5,65.417,26389.2,28678.6,171.52,1.48,2,2,0.2,12,13,13,0,73.7265,1.92308,12,0,0,3.52365,0,-1,fence-after-sync-before-publish,2097154,1048601,86,2,2,0,1,0.2,0,0,0,0,0,1,1,1,1,1,1,1
