case,workload,repetition,hnsw_seed,tail_seed,operation,index,ack,latency_us,lsn,visible_lsn,durable_lsn,durable_records,weak_records,cap,risk,snapshot_lsn,exact_recall,tail_evaluations,crash_frontier,expected_recovery,crash_child_status
stable-group,random,0,100,9001,write,0,stable,14554.3,1048577,1048579,1048579,163,0,0,0.1,,,,terminal-unfenced-suffix,,-1
stable-group,random,0,100,9001,write,1,stable,14546.2,1048578,1048579,1048579,163,0,0,0.2,,,,terminal-unfenced-suffix,,-1
stable-group,random,0,100,9001,write,2,stable,14545,1048579,1048579,1048579,163,0,0,0.3,,,,terminal-unfenced-suffix,,-1
stable-group,random,0,100,9001,write,3,stable,31488.5,1048580,1048583,1048583,167,0,0,0.1,,,,terminal-unfenced-suffix,,-1
stable-group,random,0,100,9001,write,4,stable,17892.9,1048581,1048583,1048583,167,0,0,0.2,,,,terminal-unfenced-suffix,,-1
stable-group,random,0,100,9001,write,5,stable,17883.1,1048582,1048583,1048583,167,0,0,0.3,,,,terminal-unfenced-suffix,,-1
stable-group,random,0,100,9001,write,6,stable,17836.8,1048583,1048583,1048583,167,0,0,0.4,,,,terminal-unfenced-suffix,,-1
stable-group,random,0,100,9001,write,7,stable,13872.2,1048584,1048587,1048587,171,0,0,0.1,,,,terminal-unfenced-suffix,,-1
stable-group,random,0,100,9001,write,8,stable,13862,1048585,1048587,1048587,171,0,0,0.2,,,,terminal-unfenced-suffix,,-1
stable-group,random,0,100,9001,write,9,stable,13859.7,1048586,1048587,1048587,171,0,0,0.3,,,,terminal-unfenced-suffix,,-1
stable-group,random,0,100,9001,write,10,stable,13822.2,1048587,1048587,1048587,171,0,0,0.4,,,,terminal-unfenced-suffix,,-1
stable-group,random,0,100,9001,write,11,stable,12793.7,1048588,1048591,1048591,175,0,0,0.1,,,,terminal-unfenced-suffix,,-1
stable-group,random,0,100,9001,write,12,stable,12772,1048589,1048591,1048591,175,0,0,0.2,,,,terminal-unfenced-suffix,,-1
stable-group,random,0,100,9001,write,13,stable,12770.7,1048590,1048591,1048591,175,0,0,0.3,,,,terminal-unfenced-suffix,,-1
stable-group,random,0,100,9001,write,14,stable,12758.9,1048591,1048591,1048591,175,0,0,0.4,,,,terminal-unfenced-suffix,,-1
stable-group,random,0,100,9001,write,15,stable,15858.3,1048592,1048595,1048595,179,0,0,0.1,,,,terminal-unfenced-suffix,,-1
stable-group,random,0,100,9001,write,16,stable,15848.1,1048594,1048595,1048595,179,0,0,0.3,,,,terminal-unfenced-suffix,,-1
stable-group,random,0,100,9001,write,17,stable,15835.3,1048593,1048595,1048595,179,0,0,0.2,,,,terminal-unfenced-suffix,,-1
stable-group,random,0,100,9001,write,18,stable,15803.1,1048595,1048595,1048595,179,0,0,0.4,,,,terminal-unfenced-suffix,,-1
stable-group,random,0,100,9001,write,19,stable,14785.3,1048596,1048599,1048599,183,0,0,0.1,,,,terminal-unfenced-suffix,,-1
stable-group,random,0,100,9001,write,20,stable,14776,1048597,1048599,1048599,183,0,0,0.2,,,,terminal-unfenced-suffix,,-1
stable-group,random,0,100,9001,write,21,stable,14754.4,1048598,1048599,1048599,183,0,0,0.3,,,,terminal-unfenced-suffix,,-1
stable-group,random,0,100,9001,write,22,stable,14725.1,1048599,1048599,1048599,183,0,0,0.4,,,,terminal-unfenced-suffix,,-1
stable-group,random,0,100,9001,write,23,stable,13870.2,1048601,1048601,1048601,185,0,0,0.2,,,,terminal-unfenced-suffix,,-1
