case,workload,repetition,hnsw_seed,tail_seed,requested_ack,writers,writes,queries,k_min,epsilon,comparison_epsilon,configured_cap,group_delay_us,write_seconds,writes_per_s,weak_acks,stable_acks,max_weak,binding,weak_p50_us,weak_p95_us,weak_p99_us,stable_p50_us,stable_p95_us,stable_p99_us,query_p50_us,query_p95_us,query_p99_us,latest_queries,stable_queries,timed_sync_attempts,timed_sync_successes,timed_sync_failures,timed_records_synced,policy_fences,follower_requests,fence_then_retry,strict_rejections,cap_overshoots,all_applied
stable-random-k10-for-e200000-g750-w4,random,0,100,9001,stable,4,64,64,10,0,0.20000000000000001,0,750,0.263064458,243.28638116518195,0,64,0,0,0,0,0,15806.875,29305.983899999981,29781.18979,34.5625,18312.614299999979,26917.282999999992,64,0,16,16,0,64,0,48,0,0,0,1
strict-random-k10-e200000-g750-w4,random,0,100,9001,weak,4,64,64,10,0.20000000000000001,0.20000000000000001,2,750,0.50503804100000005,126.72312737725036,64,0,2,1,29654.729500000001,51878.547399999981,57666.395039999989,0,0,0,30.3125,29845.006199999989,45761.658919999987,64,0,31,31,0,62,31,48,31,31,0,1
strict-hot-k10-e200000-g750-w4,hot,0,100,45001,weak,4,64,64,10,0.20000000000000001,0.20000000000000001,2,750,0.420043167,152.36529249385455,64,0,2,1,24968.646000000001,40841.326849999947,48442.943959999997,0,0,0,81.729500000000002,29353.837549999986,35149.058539999984,64,0,31,31,0,62,31,48,31,31,0,1
stable-hot-k10-for-e200000-g750-w4,hot,0,100,45001,stable,4,64,64,10,0,0.20000000000000001,0,750,0.36042162500000002,177.56981146733355,0,64,0,0,0,0,0,18863.875500000002,41980.296299999936,43745.396460000004,51.4375,19658.060649999996,30208.348919999997,64,0,16,16,0,64,0,48,0,0,0,1
stable-hot-k50-for-e200000-g750-w4,hot,0,100,45001,stable,4,64,64,50,0,0.20000000000000001,0,750,0.26616024999999999,240.45664219206287,0,64,0,0,0,0,0,15884.146000000001,29464.049899999984,29964.664290000001,126.0415,18032.029399999999,24858.507460000001,64,0,16,16,0,64,0,48,0,0,0,1
strict-hot-k50-e200000-g750-w4,hot,0,100,45001,weak,4,64,64,50,0.20000000000000001,0.20000000000000001,10,750,0.21546045899999999,297.03826074184684,64,0,10,1,10486.291499999999,18968.4643,22135.926960000001,0,0,0,157.3955,16470.92945,19424.084789999994,64,0,6,6,0,60,6,48,6,6,0,1
stable-hot-k20-for-e200000-g750-w4,hot,0,100,45001,stable,4,64,64,20,0,0.20000000000000001,0,750,0.36805025000000002,173.88929908348112,0,64,0,0,0,0,0,20827.832999999999,36515.026799999956,37716.413959999998,75.916499999999999,24681.271349999992,27033.734459999992,64,0,16,16,0,64,0,48,0,0,0,1
strict-hot-k20-e200000-g750-w4,hot,0,100,45001,weak,4,64,64,20,0.20000000000000001,0.20000000000000001,4,750,0.22312475000000001,286.83505527737287,64,0,4,1,12080.1875,26427.941849999981,30622.993039999994,0,0,0,91.916499999999999,14622.460799999995,25794.099169999976,64,0,15,15,0,60,15,48,15,15,0,1
stable-random-k100-for-e200000-g750-w4,random,0,100,9001,stable,4,64,64,100,0,0.20000000000000001,0,750,0.31509625000000002,203.11254100929477,0,64,0,0,0,0,0,18756.188000000002,27602.941999999999,27737.43346,194.792,19645.785699999997,26438.88625,64,0,16,16,0,64,0,48,0,0,0,1
strict-random-k100-e200000-g750-w4,random,0,100,9001,weak,4,64,64,100,0.20000000000000001,0.20000000000000001,20,750,0.21320520800000001,300.1802845266331,64,0,20,1,11688.271000000001,19987.80445,20536.183250000002,0,0,0,233.22899999999998,16457.77949999999,19147.083209999997,64,0,3,3,0,60,3,48,3,3,0,1
