case,workload,repetition,hnsw_seed,tail_seed,writers,writes_per_s,weak_p50_us,weak_p95_us,weak_p99_us,stable_p50_us,stable_p95_us,stable_p99_us,fence_us,query_p50_us,query_p95_us,query_p99_us,mean_D,mean_W,max_W,max_cap,max_risk,timed_sync_successes,total_sync_attempts,total_sync_successes,total_sync_failures,timed_syncs_per_s,total_records_per_sync,policy_fences,age_fences,overshoots,enrichment,alarm,alarm_latency_ms,crash_frontier,crash_visible_lsn,crash_durable_lsn,crash_child_status,exposed_weak_records,surviving_weak_records,lost_weak_records,has_L_lt_M,M_max,L_max,delta_max,amplification_max,stable_losses,weak_survivors,stable_records_unchanged,cohort_records_unchanged,cohort_expectations_ok,post_recovery_suffix_ok,frontier_ok,recovery_ok,strict_ok
stable-group,random,0,100,9001,4,332.861,0,0,0,10917,12889.8,12893.6,1139.46,11.292,4389.29,10296,174.44,0,0,0,0.4,7,7,7,0,93.2011,3.57143,0,0,0,1,0,-1,terminal-unfenced-suffix,1048601,1048601,-1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1
fixed-count,random,0,117,9001,4,394.615,9784.33,11455.6,11549.8,0,0,0,6266.58,12.25,9074.78,9923.73,170.56,2.44,4,4,0.0243902,6,7,7,0,94.7077,3.57143,6,0,0,0.775293,0,-1,terminal-unfenced-suffix,1048601,1048600,-1,1,0,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1
exchange-random,random,0,117,9001,4,501.709,6071.75,12137,12481.9,0,0,0,5732.25,12.2915,6998.03,10017,168.32,4.68,9,9,0.0486486,2,3,3,0,40.1367,8.33333,2,0,0,0.920619,0,-1,terminal-unfenced-suffix,1048601,1048592,-1,9,0,9,0,0.1,0.1,0.1,0,0,0,1,1,1,1,1,1,1
strict-random,random,0,117,9001,4,256.983,13780.4,21577.3,22479,0,0,0,7686.29,11.9585,11121.2,12572.1,171.52,1.48,2,2,0.2,12,13,13,0,123.352,1.92308,12,0,0,0.993377,0,-1,strict-cap-before-fence,2097154,1048601,87,2,0,2,0,0.2,0.2,0.2,0,0,0,1,1,1,1,1,1,1
exchange-hot,hot,0,100,45001,4,510.377,6129.42,12663,12673,0,0,0,6057.83,10.5415,6908.47,10909.3,168.32,4.68,9,9,0.0486486,2,3,3,0,40.8301,8.33333,2,0,0,4.19702,0,-1,terminal-unfenced-suffix,1048601,1048592,-1,9,0,9,0,0.3,0.3,0.3,5.55112e-17,0,0,1,1,1,1,1,1,1
exchange-hot-guard,hot,0,117,45001,4,171.189,3403.6,5224.54,5380.94,26876,31916.8,33287.5,1143.62,10.958,22537.9,26813,173.8,0.4,4,9,0.0243902,22,22,22,0,150.647,1.13636,16,0,0,2.84158,1,5.481,terminal-unfenced-suffix,1048601,1048601,-1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1
strict-hot,hot,0,100,45001,4,246.971,16192.2,18029.3,18179.1,0,0,0,5821.29,10.396,14046.2,14917.9,171.52,1.48,2,2,0.2,12,13,13,0,118.546,1.92308,12,0,0,3.7058,0,-1,fence-after-sync-before-publish,2097154,1048601,86,2,2,0,1,0.2,0,0,0,0,0,1,1,1,1,1,1,1
fixed-time,random,0,100,9001,4,375.313,10188.9,14396.9,15148.3,0,0,0,1145.04,11.5,30.6686,8410.31,170.92,2.08,4,1638,0.0243902,7,8,8,0,105.088,3.125,0,8,0,0.847716,0,-1,terminal-unfenced-suffix,1048601,1048601,-1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1
exchange-hot-guard,hot,1,100,45002,4,164.285,3500.62,5304.22,5474.44,26793,35799.5,37152.7,1144.08,10.604,25706.9,30254.4,173.8,0.4,4,9,0.0243902,22,22,22,0,144.571,1.13636,16,0,0,2.84158,1,5.556,terminal-unfenced-suffix,1048601,1048601,-1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1
strict-hot,hot,1,117,45002,4,242.104,16779.8,18531.5,18708.1,0,0,0,7674.42,10.8335,15354.9,16586.9,171.52,1.48,2,2,0.2,12,13,13,0,116.21,1.92308,12,0,0,3.61842,0,-1,fence-after-sync-before-publish,2097154,1048601,86,2,2,0,1,0.2,0,0,0,0,0,1,1,1,1,1,1,1
