case,workload,repetition,hnsw_seed,tail_seed,requested_ack,writers,writes,queries,k_min,epsilon,comparison_epsilon,configured_cap,group_delay_us,write_seconds,writes_per_s,weak_acks,stable_acks,max_weak,binding,weak_p50_us,weak_p95_us,weak_p99_us,stable_p50_us,stable_p95_us,stable_p99_us,query_p50_us,query_p95_us,query_p99_us,latest_queries,stable_queries,timed_sync_attempts,timed_sync_successes,timed_sync_failures,timed_records_synced,policy_fences,follower_requests,fence_then_retry,strict_rejections,cap_overshoots,all_applied
stable-random-k10-for-e200000-g750-w4,random,0,100,9001,stable,4,64,64,10,0,0.20000000000000001,0,750,0.19004870800000001,336.75577526157133,0,64,0,0,0,0,0,11844.875,12890.51865,12900.516250000001,12.0205,10899.460749999998,11931.791999999999,64,0,16,16,0,64,0,48,0,0,0,1
strict-random-k10-e200000-g750-w4,random,0,100,9001,weak,4,64,64,10,0.20000000000000001,0.20000000000000001,2,750,0.25946049999999998,246.66567743452279,64,0,2,1,15902.270499999999,20647.575099999991,22118.597289999998,0,0,0,11.75,15917.874999999998,17679.807459999996,64,0,31,31,0,62,31,48,31,31,0,1
strict-hot-k10-e200000-g750-w4,hot,0,100,45001,weak,4,64,64,10,0.20000000000000001,0.20000000000000001,2,750,0.26657441700000001,240.08305343119252,64,0,2,1,16751.4375,19702.929399999997,20735.408499999998,0,0,0,9.8539999999999992,15979.445599999994,18722.13725,64,0,31,31,0,62,31,48,31,31,0,1
stable-hot-k10-for-e200000-g750-w4,hot,0,100,45001,stable,4,64,64,10,0,0.20000000000000001,0,750,0.18320566699999999,349.33417207012491,0,64,0,0,0,0,0,10888.520499999999,14875.724899999999,14934.88667,9.4794999999999998,9928.7286999999997,12254.540749999996,64,0,16,16,0,64,0,48,0,0,0,1
stable-hot-k50-for-e200000-g750-w4,hot,0,100,45001,stable,4,64,64,50,0,0.20000000000000001,0,750,0.18114925000000001,353.29983425269495,0,64,0,0,0,0,0,10841.332999999999,13692.184849999994,13881.602290000001,28.791499999999999,11709.349949999996,12338.739999999998,64,0,16,16,0,64,0,48,0,0,0,1
strict-hot-k50-e200000-g750-w4,hot,0,100,45001,weak,4,64,64,50,0.20000000000000001,0.20000000000000001,10,750,0.127911417,500.34626697943622,64,0,10,1,5747.5834999999997,13820.706299999983,14588.471959999999,0,0,0,27.75,9191.6249999999727,11549.323209999991,64,0,6,6,0,60,6,48,6,6,0,1
stable-hot-k20-for-e200000-g750-w4,hot,0,100,45001,stable,4,64,64,20,0,0.20000000000000001,0,750,0.17607162500000001,363.48843829890251,0,64,0,0,0,0,0,10789.666499999999,12910.216999999999,12955.739669999999,13.2705,9866.3249999999989,10715.343419999996,64,0,16,16,0,64,0,48,0,0,0,1
strict-hot-k20-e200000-g750-w4,hot,0,100,45001,weak,4,64,64,20,0.20000000000000001,0.20000000000000001,4,750,0.113117916,565.78128614038474,64,0,4,1,6735.8960000000006,9836.5231499999991,9918.68642,0,0,0,12.791499999999999,6678.3786,8726.0674999999992,64,0,15,15,0,60,15,48,15,15,0,1
stable-random-k100-for-e200000-g750-w4,random,0,100,9001,stable,4,64,64,100,0,0.20000000000000001,0,750,0.18316654099999999,349.40879295198351,0,64,0,0,0,0,0,10841.353999999999,13703.991099999994,13885.14292,42.499499999999998,10011.706249999999,11907.544959999999,64,0,16,16,0,64,0,48,0,0,0,1
strict-random-k100-e200000-g750-w4,random,0,100,9001,weak,4,64,64,100,0.20000000000000001,0.20000000000000001,20,750,0.11472370799999999,557.8620244736162,64,0,20,1,5735.8125,12842.439249999999,14338.58771,0,0,0,45,5787.7374999999993,10950.850919999999,64,0,3,3,0,60,3,48,3,3,0,1
stable-hot-k100-for-e200000-g750-w4,hot,0,100,45001,stable,4,64,64,100,0,0.20000000000000001,0,750,0.18021383299999999,355.13367056567739,0,64,0,0,0,0,0,10812.958500000001,14775.0062,14833.958210000001,43.749499999999998,9918.4293999999991,11251.291249999997,64,0,16,16,0,64,0,48,0,0,0,1
strict-hot-k100-e200000-g750-w4,hot,0,100,45001,weak,4,64,64,100,0.20000000000000001,0.20000000000000001,20,750,0.116698833,548.42022284832956,64,0,20,1,6109.8130000000001,11685.7438,12155.018869999998,0,0,0,45.75,8555.8062499999796,11092.116579999998,64,0,3,3,0,60,3,48,3,3,0,1
strict-random-k50-e200000-g750-w4,random,0,100,9001,weak,4,64,64,50,0.20000000000000001,0.20000000000000001,10,750,0.12290783399999999,520.71538417966099,64,0,10,1,6028.9794999999995,10802.476899999998,11271.133869999998,0,0,0,29.208500000000001,8781.198249999994,9443.4574999999986,64,0,6,6,0,60,6,48,6,6,0,1
stable-random-k50-for-e200000-g750-w4,random,0,100,9001,stable,4,64,64,50,0,0.20000000000000001,0,750,0.15017629099999999,426.16580536004852,0,64,0,0,0,0,0,9486.8534999999993,12706.037449999994,12912.67642,29.916499999999999,7058.6901499999985,10220.978039999998,64,0,16,16,0,64,0,48,0,0,0,1
stable-random-k20-for-e200000-g750-w4,random,0,100,9001,stable,4,64,64,20,0,0.20000000000000001,0,750,0.17312058299999999,369.68452214604662,0,64,0,0,0,0,0,10820.020499999999,12673.562499999995,12854.062169999999,15.4375,9673.2686999999951,10307.878919999997,64,0,16,16,0,64,0,48,0,0,0,1
strict-random-k20-e200000-g750-w4,random,0,100,9001,weak,4,64,64,20,0.20000000000000001,0.20000000000000001,4,750,0.17908529100000001,357.37161685713204,64,0,4,1,10948.416499999999,14092.79385,15590.951789999999,0,0,0,15.8125,10188.598199999999,13288.947619999994,64,0,15,15,0,60,15,48,15,15,0,1
stable-hot-k100-for-e200000-g750-w4,hot,1,117,45002,stable,4,64,64,100,0,0.20000000000000001,0,750,0.185080833,345.79485602380015,0,64,0,0,0,0,0,10891.041499999999,15379.706249999983,15869.625039999999,40.896000000000001,9941.9749499999998,11481.522829999998,64,0,16,16,0,64,0,48,0,0,0,1
strict-hot-k100-e200000-g750-w4,hot,1,117,45002,weak,4,64,64,100,0.20000000000000001,0.20000000000000001,20,750,0.1078385,593.48006509734466,64,0,20,1,5575.5625,10148.2017,10526.872499999999,0,0,0,38.603999999999999,6048.2224499999902,9333.991039999999,64,0,3,3,0,60,3,48,3,3,0,1
stable-random-k50-for-e200000-g750-w4,random,1,117,9002,stable,4,64,64,50,0,0.20000000000000001,0,750,0.17318312499999999,369.55101716752137,0,64,0,0,0,0,0,10844.6245,11845.92065,11893.643249999999,28.625,9918.0152500000004,10363.834999999997,64,0,16,16,0,64,0,48,0,0,0,1
strict-random-k50-e200000-g750-w4,random,1,117,9002,weak,4,64,64,50,0.20000000000000001,0.20000000000000001,10,750,0.12574070800000001,508.98393223616966,64,0,10,1,6497.0414999999994,13148.799999999987,13648.44917,0,0,0,29.583500000000001,8664.7168499999843,10224.3315,64,0,6,6,0,60,6,48,6,6,0,1
strict-hot-k20-e200000-g750-w4,hot,1,117,45002,weak,4,64,64,20,0.20000000000000001,0.20000000000000001,4,750,0.18456800000000001,346.75566728793723,64,0,4,1,11464.353499999999,17242.070449999981,19679.771499999999,0,0,0,14.4375,10705.462449999995,11705.037619999999,64,0,15,15,0,60,15,48,15,15,0,1
stable-hot-k20-for-e200000-g750-w4,hot,1,117,45002,stable,4,64,64,20,0,0.20000000000000001,0,750,0.20008029199999999,319.87158435374533,0,64,0,0,0,0,0,11827.333500000001,14879.129449999999,14909.57583,16.499499999999998,12912.4143,13919.01613,64,0,16,16,0,64,0,48,0,0,0,1
stable-random-k100-for-e200000-g750-w4,random,1,117,9002,stable,4,64,64,100,0,0.20000000000000001,0,750,0.13313879200000001,480.70137214404048,0,64,0,0,0,0,0,7862.7710000000006,11597.072449999989,11903.417079999999,50.978999999999999,7920.4749999999985,9738.0507099999959,64,0,16,16,0,64,0,48,0,0,0,1
